127.0.0.1 - - [17/Nov/2020:20:05:13 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/view/admin/product/list-product.jsp;jsessionid=4409E23C573F9E6E9AF4DE334E761AD0 HTTP/1.1" 200 21813
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/jvectormap/jquery-jvectormap-2.0.3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/flag-icons/css/flag-icon.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/nprogress/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/toaster/toastr.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/select2/css/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/ladda/ladda.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/css/fashi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/css/sleek.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/fontawesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/nprogress/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/toaster/toastr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/ladda/spin.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/slimscrollbar/jquery.slimscroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/charts/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/ladda/ladda.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/jquery-mask-input/jquery.mask.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:15 +0700] "GET /ecommerce/template/admin/assets/plugins/select2/js/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/assets/plugins/jvectormap/jquery-jvectormap-2.0.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/assets/plugins/jvectormap/jquery-jvectormap-world-mill.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/assets/plugins/daterangepicker/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/assets/plugins/daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/assets/plugins/jekyll-search.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/assets/js/sleek.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/images/products/product-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/images/products/product-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/images/products/product-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/images/products/product-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/images/products/product-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/images/products/product-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/assets/js/chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/assets/js/date-range.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/assets/js/map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/assets/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/pagination/jquery.twbsPagination.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/images/products/product-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /ecommerce/template/admin/images/products/product-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:16 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:06:26 +0700] "GET /ecommerce/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:06:26 +0700] "GET /ecommerce/view/admin/product/list-product.jsp HTTP/1.1" 200 21813
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:06:27 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:06:51 +0700] "GET /ecommerce/view/admin/statistical/access-times.jsp HTTP/1.1" 200 15631
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:06:51 +0700] "GET /assets/data/search.json HTTP/1.1" 404 782
