127.0.0.1 - - [13/Nov/2020:12:03:27 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Nov/2020:12:03:28 +0700] "GET /ecommerce/ HTTP/1.1" 200 21716
0:0:0:0:0:0:0:1 - - [13/Nov/2020:12:03:28 +0700] "GET /ecommerce/template/admin/assets/plugins/nprogress/nprogress.css;jsessionid=0DF546B6B978BEAC2248D0B4E9BD08D7 HTTP/1.1" 200 1644
0:0:0:0:0:0:0:1 - - [13/Nov/2020:12:03:28 +0700] "GET /ecommerce/template/admin/assets/plugins/ladda/ladda.min.css;jsessionid=0DF546B6B978BEAC2248D0B4E9BD08D7 HTTP/1.1" 200 9278
0:0:0:0:0:0:0:1 - - [13/Nov/2020:12:03:28 +0700] "GET /ecommerce/template/admin/assets/plugins/select2/css/select2.min.css;jsessionid=0DF546B6B978BEAC2248D0B4E9BD08D7 HTTP/1.1" 200 15181
0:0:0:0:0:0:0:1 - - [13/Nov/2020:12:03:28 +0700] "GET /ecommerce/template/admin/assets/css/bootstrap.min.css;jsessionid=0DF546B6B978BEAC2248D0B4E9BD08D7 HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [13/Nov/2020:12:03:28 +0700] "GET /ecommerce/template/admin/assets/css/sleek.css;jsessionid=0DF546B6B978BEAC2248D0B4E9BD08D7 HTTP/1.1" 200 317937
0:0:0:0:0:0:0:1 - - [13/Nov/2020:12:03:28 +0700] "GET /ecommerce/template/admin/fontawesome/css/font-awesome.min.css;jsessionid=0DF546B6B978BEAC2248D0B4E9BD08D7 HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [13/Nov/2020:12:03:28 +0700] "GET /ecommerce/template/admin/assets/plugins/toaster/toastr.min.css;jsessionid=0DF546B6B978BEAC2248D0B4E9BD08D7 HTTP/1.1" 200 6454
0:0:0:0:0:0:0:1 - - [13/Nov/2020:12:03:28 +0700] "GET /ecommerce/template/admin/assets/plugins/daterangepicker/daterangepicker.css;jsessionid=0DF546B6B978BEAC2248D0B4E9BD08D7 HTTP/1.1" 200 9274
0:0:0:0:0:0:0:1 - - [13/Nov/2020:12:03:28 +0700] "GET /ecommerce/template/admin/assets/css/fashi.css;jsessionid=0DF546B6B978BEAC2248D0B4E9BD08D7 HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [13/Nov/2020:12:03:28 +0700] "GET /ecommerce/template/admin/assets/plugins/jvectormap/jquery-jvectormap-2.0.3.css;jsessionid=0DF546B6B978BEAC2248D0B4E9BD08D7 HTTP/1.1" 200 6769
